# f c_1 c_2 l mean_disp mu d_eff mfpt
10 1 -0.3333333333333333 0.04 409.9969369838846 0.4099969369838846 1.3919877855187224 0.24390426117727462
10 2 -0.3333333333333333 0.08 404.2049367939712 0.4042049367939712 1.363973710184946 0.24739925443060923
10 2 -0.3333333333333333 0.04 409.9881129116339 0.4099881129116339 1.4060732654113963 0.243909510668065
10 1 -0.3333333333333333 0.08 404.21219882160983 0.4042121988216098 1.352829071104934 0.24739480968542665
20 1 -0.3333333333333333 0.04 1171.351128630401 0.5856755643152005 2.155125877764076 0.08537149754311904
20 2 -0.3333333333333333 0.08 1169.4688460380662 0.5847344230190331 2.0861545849533285 0.08550890460979839
20 2 -0.3333333333333333 0.04 1171.2372070298813 0.5856186035149407 2.1456739380559884 0.08537980129028529
20 1 -0.3333333333333333 0.08 1168.843441052014 0.5844217205260069 2.072837661097292 0.08555465726872309
10 2 -3 0.08 409.51634085471505 0.409516340854715 1.3759945942115155 0.2441904999231208
10 1 -3 0.04 410.6335278716692 0.4106335278716692 1.3918835545063484 0.24352614487741464
10 2 -3 0.04 411.6346919202327 0.41163469192023266 1.372355899403192 0.2429338487810891
10 1 -3 0.08 406.8394309003195 0.4068394309003195 1.3646811665446148 0.24579721729209966
20 1 -3 0.04 1172.4295424457605 0.5862147712228802 2.13548570367042 0.08529297188417295
20 2 -3 0.08 1176.7698298066387 0.5883849149033193 2.0804603916266933 0.08497838529428609
20 2 -3 0.04 1173.4706056742757 0.5867353028371378 2.138378477115184 0.08521730285910319
20 1 -3 0.08 1173.1597723190457 0.5865798861595228 2.0736779765738174 0.0852398815229786
